team, avg_ticket, avg_ticket_pct_change, avg_premium_ticket, beer, beer_oz, soda, soda_oz, hot_dog, parking, program, cap, FCI, FCI_pct_change
San Francisco 49ers,117.00,40.1,320.00,10.25,20,6.00,21,6.25,40.00,10.00,22.00,641.50,38.7
Dallas Cowboys,110.20,0.0,340.00,8.50,16,5.00,20,5.50,75.00,10.00,20.00,634.80,0.0
New England Patriots,122.00,3.1,566.67,7.50,20,4.00,22,3.75,40.00,5.00,19.95,624.70,2.2
Washington Redskins,102.00,0.0,375.32,9.00,20,5.00,22,6.00,57.50,5.00,30.00,597.51,1.3
Chicago Bears,108.44,4.7,322.15,9.00,20,5.00,16,5.00,49.00,5.00,23.00,596.76,3.3
New York Giants,111.69,0.0,464.75,5.00,12,3.00,12,6.00,30.00,5.00,25.00,582.76,0.0
New York Jets,105.66,-4.2,344.41,5.00,12,3.00,12,6.00,25.00,10.00,20.00,553.63,-4.1
Baltimore Ravens,100.19,0.0,258.94,8.25,16,7.50,32,5.00,40.00,0.00,20.00,547.26,0.0
Philadelphia Eagles,98.69,6.1,217.48,8.50,12,4.50,12,5.00,35.00,5.00,18.00,530.76,7.9
Pittsburgh Steelers,83.97,3.5,238.75,8.00,21,5.00,20,5.25,40.00,5.00,35.00,512.88,9.5
New Orleans Saints,84.87,13.2,187.61,9.00,16,4.75,20,5.50,35.00,5.00,32.00,507.49,9.9
Houston Texans,88.98,0.0,260.17,5.00,12,4.75,20,5.75,33.20,5.00,20.00,491.11,1.8
Minnesota Vikings,88.53,12.5,201.21,7.75,20,4.50,20,5.75,20.00,5.00,25.00,490.62,9.9,
Green Bay Packers,85.61,3.6,251.12,7.75,16,4.50,24,5.75,40.00,6.00,17.95,486.82,4.4
Denver Broncos,87.96,4.4,310.66,6.75,16,4.50,20,4.75,30.00,5.00,19.95,482.22,5.2
NFL AVERAGE,84.43,3.5,252.06,7.53,17,4.73,20,5.38,31.49,4.03,23.21,479.11,4.4
San Diego Chargers,84.55,0.0,170.00,9.00,20,5.75,16,6.00,25.00,5.00,19.99,478.19,-0.2
Seattle Seahawks,80.77,13.4,189.74,8.00,16,4.50,20,5.75,50.00,3.00,18.00,472.10,8.8
Indianapolis Colts,86.32,0.0,164.00,7.00,16,5.50,32,5.25,20.00,0.00,18.00,458.27,0.0
Atlanta Falcons,78.58,-6.0,275.55,7.50,16,6.50,32,5.50,20.00,0.00,20.00,437.33,-4.3
Arizona Cardinals,82.15,3.3,258.20,7.25,12,4.25,24,4.00,14.00,3.00,20.00,436.09,5.3
St. Louis Rams,73.86,-0.8,188.11,4.50,12,5.00,22,4.25,20.00,5.00,28.00,427.44,-1.7
Oakland Raiders,64.80,0.0,138.93,10.75,20,4.50,16,6.75,35.00,5.00,25.00,420.70,4.7
Kansas City Chiefs,68.38,5.3,202.25,8.50,16,4.75,20,5.75,27.00,0.00,29.99,419.50,12.0
Detroit Lions,72.98,4.1,152.67,7.50,16,5.00,16,6.00,11.00,0.00,25.00,411.94,5.0
Cincinnati Bengals,71.26,3.3,188.62,5.00,14,5.00,20,5.00,26.00,5.00,20.00,411.04,5.2
Carolina Panthers,72.44,8.4,276.97,7.50,20,4.00,20,5.00,20.00,0.00,22.00,404.78,10.8
Tennessee Titans,67.15,2.9,168.16,7.00,16,4.00,16,4.00,30.00,5.00,25.00,404.58,2.9
Miami Dolphins,65.16,-8.4,186.71,7.75,20,4.00,20,6.00,20.00,5.00,25.99,398.12,-2.8
Tampa Bay Buccaneers,63.59,0.0,222.31,7.50,20,4.50,20,5.00,25.00,0.00,28.00,388.36,5.9
Buffalo Bills,62.01,7.4,202.42,9.00,20,5.00,20,5.50,25.00,0.00,25.00,383.05,4.7
Cleveland Browns,54.20,0.0,205.02,5.00,12,4.25,24,6.00,25.00,3.00,25.00,348.80,1.5
Jacksonville Jaguars,57.65,-2.3,216.99,7.00,16,4.00,16,5.00,25.00,0.00,20.00,345.58,-1.5
